,Record_Number,Region,RESIDENCE_TYPE,Family_Composition,sex,age,Marital_Status,student,Country_Of_Birth,health,Ethnic_Group,religion,Economic_Activity,Occupation,industry,Hours_Worked_Per_Week,Approximate_Social_Grade
23,24,S92000003,P,2,1,2,1,2,1,1,1,1,1,5,8,3,3
24,25,S92000003,P,2,1,3,1,2,1,1,1,2,1,3,8,3,2
25,26,S92000003,P,1,2,5,2,2,1,1,1,1,1,6,11,2,4
26,27,S92000003,P,1,2,4,2,2,1,2,2,2,1,6,11,4,2
27,28,S92000003,P,0,1,7,1,2,1,3,1,1,1,9,2,4,4
28,29,S92000003,P,1,2,6,2,2,1,2,1,2,1,6,4,2,3
29,30,S92000003,P,1,2,2,1,1,1,1,1,1,4,7,4,1,1
30,31,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
31,32,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
32,33,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
33,34,S92000003,P,0,2,5,4,2,1,3,1,2,2,3,7,2,2
34,35,S92000003,P,1,2,3,2,2,2,3,1,2,7,4,2,X,2
35,36,S92000003,P,1,2,5,1,2,1,1,1,2,1,2,10,3,3
36,37,S92000003,P,1,2,2,1,1,1,1,1,1,4,3,9,3,1
37,38,S92000003,P,2,1,3,1,2,1,1,1,1,2,2,8,3,1
38,39,S92000003,P,2,1,7,4,2,1,2,1,2,1,9,4,2,4
39,40,S92000003,P,1,1,4,1,2,1,1,1,1,3,3,3,X,4
40,41,S92000003,P,0,1,3,1,2,1,1,1,1,1,2,8,3,1
41,42,S92000003,P,0,1,6,2,2,2,1,1,2,2,2,4,3,1
42,43,S92000003,P,2,1,5,1,2,1,1,1,1,1,2,10,3,1
43,44,S92000003,P,4,2,3,1,2,2,1,1,2,1,9,4,2,4
44,45,S92000003,P,1,2,1,1,2,1,1,4,2,X,X,X,X,X
45,46,S92000003,P,2,2,3,1,2,1,1,1,9,1,9,5,3,4
46,47,S92000003,P,0,1,3,1,2,1,2,1,1,1,3,2,3,2
47,48,S92000003,P,0,1,2,1,1,2,1,1,1,6,X,X,X,2
48,49,S92000003,P,0,1,3,2,1,2,1,4,2,6,2,8,X,2
49,50,S92000003,P,2,1,3,1,2,1,1,1,1,1,5,3,4,3
50,51,S92000003,P,0,1,2,1,1,1,2,1,9,4,6,4,2,1
51,52,S92000003,P,2,1,2,1,2,1,1,1,1,1,4,6,3,3
52,53,S92000003,P,2,2,2,1,2,2,2,1,2,1,4,7,3,2
53,54,S92000003,P,2,2,3,1,2,1,2,1,1,1,3,4,2,3
54,55,S92000003,P,1,1,5,2,2,1,2,1,1,1,8,6,4,3
55,56,S92000003,P,1,2,6,2,2,1,2,1,2,5,6,11,X,4
56,57,S92000003,P,0,1,4,1,2,1,2,1,1,1,2,8,3,1
57,58,S92000003,P,4,1,1,1,1,1,2,1,2,X,X,X,X,X
58,59,S92000003,P,0,2,5,2,2,2,1,4,2,1,4,11,3,2
59,60,S92000003,P,0,1,3,1,2,1,1,1,1,1,6,8,3,2
60,61,S92000003,P,2,2,2,1,1,1,1,1,1,4,9,5,1,2
61,62,S92000003,P,0,2,3,1,1,2,2,2,2,4,7,4,2,2
62,63,S92000003,P,1,1,3,2,2,2,1,1,2,1,8,6,3,3
63,64,S92000003,P,2,2,2,1,2,1,2,1,2,1,4,10,3,2
64,65,S92000003,P,1,1,3,2,2,2,1,3,6,1,2,6,3,1
65,66,S92000003,P,0,1,4,1,2,1,2,1,2,9,9,2,X,4
66,67,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
67,68,S92000003,P,1,2,1,1,1,2,1,1,1,X,X,X,X,X
68,69,S92000003,P,2,2,4,4,2,1,2,1,2,7,4,4,X,2
69,70,S92000003,P,2,2,4,4,2,1,1,1,1,7,4,3,X,3
70,71,S92000003,P,1,1,8,2,2,1,2,1,2,5,1,7,X,1
71,72,S92000003,P,1,2,6,2,2,1,2,1,2,7,6,11,X,2
72,73,S92000003,P,0,1,6,4,2,1,1,1,1,1,3,6,3,2
73,74,S92000003,P,0,2,6,4,2,2,2,6,1,1,2,11,3,1
74,75,S92000003,P,1,2,5,2,2,1,1,1,1,1,2,11,3,2
75,76,S92000003,P,1,2,7,2,2,1,1,1,2,5,6,11,X,4
76,77,S92000003,P,1,1,7,2,2,1,2,1,2,5,8,4,X,2
77,78,S92000003,P,1,2,1,1,1,2,1,1,2,X,X,X,X,X
78,79,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
79,80,S92000003,P,1,2,8,2,2,1,2,1,2,5,3,11,X,2
80,81,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
81,82,S92000003,P,1,1,3,1,2,1,2,1,1,8,7,12,X,2
82,83,S92000003,P,0,2,4,1,2,1,2,1,9,1,2,3,3,1
83,84,S92000003,P,1,1,6,2,2,1,2,1,2,1,6,11,3,3
84,85,S92000003,P,1,1,8,2,2,1,3,1,1,5,5,13,X,3
85,86,S92000003,P,1,1,2,1,1,2,1,1,2,6,X,X,X,1
86,87,S92000003,P,1,1,6,2,2,1,2,1,2,1,7,4,3,4
87,88,S92000003,P,1,2,5,2,2,1,1,1,1,1,4,9,3,2
88,89,S92000003,P,1,1,3,2,1,1,2,1,2,6,2,10,X,2
89,90,S92000003,P,1,1,6,2,2,1,1,1,2,1,5,4,3,3
90,91,S92000003,P,1,1,5,2,2,1,1,1,9,1,2,2,3,2
91,92,S92000003,P,1,1,7,2,2,1,2,1,1,5,4,4,X,2
92,93,S92000003,P,1,2,2,1,1,1,1,1,2,4,7,4,1,1
93,94,S92000003,P,1,1,8,2,2,1,2,1,2,5,9,2,X,4
94,95,S92000003,P,1,2,5,2,2,1,1,1,2,1,4,10,2,3
95,96,S92000003,P,3,2,4,1,2,1,2,1,2,1,7,4,2,3
96,97,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
97,98,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
98,99,S92000003,P,1,1,6,2,2,1,1,1,9,2,5,3,3,3
99,100,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
100,101,S92000003,P,2,1,4,1,2,1,1,1,1,1,8,6,3,4
101,102,S92000003,P,1,2,7,2,2,1,2,1,9,5,9,11,X,3
102,103,S92000003,P,1,2,8,2,2,1,2,1,2,5,7,4,X,4
103,104,S92000003,P,0,1,8,5,2,1,2,1,2,5,8,2,X,4
104,105,S92000003,P,1,2,7,2,2,1,3,1,2,5,9,8,X,4
105,106,S92000003,P,1,1,5,2,2,1,2,1,2,3,3,2,X,2
106,107,S92000003,P,1,2,2,1,2,1,1,1,2,1,7,8,3,3
107,108,S92000003,P,1,2,7,2,2,1,3,1,9,1,4,3,2,3
108,109,S92000003,P,1,1,4,2,2,1,2,1,1,1,5,2,4,3
109,110,S92000003,P,1,2,6,2,2,1,1,1,2,7,1,6,X,3
110,111,S92000003,P,0,2,5,4,2,1,4,1,2,8,6,8,X,4
111,112,S92000003,P,0,2,8,1,2,1,2,1,2,5,4,6,X,2
112,113,S92000003,P,1,1,5,2,2,1,1,1,9,2,5,1,4,3
113,114,S92000003,P,1,2,5,2,2,1,1,1,2,1,7,4,2,3
114,115,S92000003,P,5,2,8,1,2,1,3,1,2,2,5,1,4,3
115,116,S92000003,P,1,1,4,2,2,1,1,1,2,1,5,3,3,3
116,117,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
117,118,S92000003,P,0,2,7,4,2,1,3,1,2,5,1,5,X,2
118,119,S92000003,P,1,2,5,2,2,1,1,1,2,1,6,10,2,2
119,120,S92000003,P,0,1,4,3,2,1,4,1,2,1,8,2,4,4
120,121,S92000003,P,1,2,5,2,2,1,1,1,1,1,4,8,3,3
121,122,S92000003,P,2,1,5,1,2,1,1,1,1,1,9,2,3,4
122,123,S92000003,P,1,2,3,2,2,1,2,1,2,1,4,10,2,3
123,124,S92000003,P,0,2,5,5,2,1,1,1,2,1,4,9,3,2
124,125,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
125,126,S92000003,P,1,1,2,1,2,1,1,1,2,1,3,9,3,3
126,127,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
127,128,S92000003,P,1,1,6,2,2,1,2,1,2,1,3,6,4,2
128,129,S92000003,P,1,1,5,2,2,1,1,1,1,1,8,2,3,3
129,130,S92000003,P,1,2,4,2,2,1,1,1,2,1,2,10,2,3
130,131,S92000003,P,1,1,5,2,2,1,1,1,2,1,3,6,4,2
131,132,S92000003,P,1,2,3,2,2,1,1,1,1,1,6,13,2,4
132,133,S92000003,P,1,2,4,2,2,1,1,1,1,7,4,7,X,4
133,134,S92000003,P,2,2,5,1,2,1,2,1,1,1,3,2,2,1
134,135,S92000003,P,2,1,5,1,2,1,1,1,9,1,2,10,3,1
135,136,S92000003,P,1,1,5,2,2,1,2,1,2,1,2,6,3,1
136,137,S92000003,P,1,2,4,2,2,1,1,1,2,1,6,11,2,2
137,138,S92000003,P,2,2,4,1,2,1,2,1,1,1,4,3,3,2
138,139,S92000003,P,1,1,4,2,2,1,1,1,1,1,2,10,3,1
139,140,S92000003,P,0,2,8,5,2,1,3,1,2,5,5,10,X,4
140,141,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
141,142,S92000003,P,1,1,4,2,2,1,2,1,2,1,5,4,4,3
142,143,S92000003,P,2,1,6,4,2,1,4,1,9,8,1,2,X,4
143,144,S92000003,P,1,2,6,2,2,1,1,1,9,5,1,5,X,4
144,145,S92000003,P,0,2,7,4,2,1,5,1,2,5,6,11,X,4
145,146,S92000003,P,2,1,2,1,2,1,1,1,1,1,3,6,3,2
146,147,S92000003,P,1,2,6,2,2,1,2,1,9,5,8,2,X,1
147,148,S92000003,P,0,2,4,4,2,1,1,1,2,1,9,5,4,4
148,149,S92000003,P,2,1,3,1,2,1,1,1,1,1,3,3,3,2
149,150,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
150,151,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
151,152,S92000003,P,3,1,4,1,2,1,1,1,1,3,7,4,X,1
152,153,S92000003,P,1,1,1,1,1,2,2,1,2,X,X,X,X,X
153,154,S92000003,P,1,1,3,1,2,1,2,1,2,1,5,3,4,1
154,155,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
155,156,S92000003,P,1,1,5,2,2,1,1,1,1,1,3,8,3,2
156,157,S92000003,P,4,1,2,1,1,1,1,1,1,4,9,5,1,4
157,158,S92000003,P,4,2,3,1,2,1,1,1,1,7,9,8,X,4
158,159,S92000003,P,2,2,4,3,2,1,1,1,1,1,6,11,2,2
159,160,S92000003,P,1,1,6,2,2,1,2,1,2,1,5,4,3,3
160,161,S92000003,P,2,1,1,1,2,1,2,1,1,X,X,X,X,X
161,162,S92000003,P,1,2,8,2,2,1,3,1,1,5,7,4,X,4
162,163,S92000003,P,2,2,4,1,2,1,4,1,1,1,4,11,3,2
163,164,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,2
164,165,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
165,166,S92000003,P,4,1,1,1,2,1,1,1,9,X,X,X,X,X
166,167,S92000003,P,1,1,7,2,2,1,2,1,9,5,1,12,X,2
167,168,S92000003,P,1,2,2,1,1,1,1,1,8,6,X,X,X,2
168,169,S92000003,P,0,2,8,5,2,1,3,1,2,5,2,11,X,2
169,170,S92000003,P,1,1,8,2,2,1,2,1,2,5,2,2,X,2
170,171,S92000003,P,0,1,8,5,2,1,2,1,2,5,3,10,X,1
171,172,S92000003,P,0,2,2,1,2,1,1,1,1,3,6,11,X,4
172,173,S92000003,P,0,2,8,5,2,1,3,1,2,5,3,9,X,2
173,174,S92000003,P,1,2,4,2,2,1,1,1,2,2,1,4,3,4
174,175,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
175,176,S92000003,P,1,2,6,2,2,1,3,1,2,1,4,4,1,2
176,177,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
177,178,S92000003,P,1,1,4,2,2,1,1,1,2,1,3,2,3,2
178,179,S92000003,P,1,2,5,2,2,1,1,1,2,3,1,11,X,3
179,180,S92000003,P,0,1,8,5,2,1,3,1,2,5,5,2,X,4
180,181,S92000003,P,1,1,4,2,2,1,2,1,2,1,6,11,3,4
181,182,S92000003,P,1,1,6,2,2,1,2,1,2,1,7,4,2,4
182,183,S92000003,P,2,2,3,1,2,1,2,1,1,1,3,11,3,2
183,184,S92000003,P,1,2,4,2,2,2,2,3,1,1,2,11,2,3
184,185,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
185,186,S92000003,P,2,2,2,1,1,1,1,1,1,4,7,4,1,3
186,187,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
187,188,S92000003,P,4,1,2,1,2,1,1,1,2,3,8,6,X,3
188,189,S92000003,P,2,1,5,3,2,1,2,1,1,1,3,11,3,2
189,190,S92000003,P,2,2,2,1,2,1,2,1,1,3,X,X,X,2
190,191,S92000003,P,0,1,5,1,2,1,1,1,2,1,8,2,3,4
191,192,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
192,193,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
193,194,S92000003,P,1,1,8,2,2,1,5,1,2,5,8,6,X,3
194,195,S92000003,P,1,1,2,1,2,1,1,1,2,1,5,11,3,4
195,196,S92000003,P,4,1,1,1,2,1,2,1,1,X,X,X,X,X
196,197,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
197,198,S92000003,P,1,2,5,2,2,1,5,1,1,8,6,11,X,3
198,199,S92000003,P,1,2,2,1,1,1,2,1,1,4,X,X,X,4
199,200,S92000003,P,4,1,3,1,2,1,1,1,1,9,5,2,X,2
200,201,S92000003,P,4,1,2,1,2,1,2,1,1,1,5,3,3,4
201,202,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
202,203,S92000003,P,3,1,5,5,2,1,2,1,1,2,5,3,3,3
203,204,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
204,205,S92000003,P,1,1,5,2,2,1,1,1,2,1,3,9,3,2
205,206,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
206,207,S92000003,P,0,2,6,1,2,1,1,1,1,2,9,6,3,4
207,208,S92000003,P,0,2,5,1,2,1,1,1,2,1,9,5,1,4
208,209,S92000003,P,1,2,3,2,2,1,1,1,2,1,4,10,3,2
209,210,S92000003,P,4,2,3,1,2,1,3,1,1,7,4,8,X,2
210,211,S92000003,P,2,1,5,1,2,1,2,1,1,1,5,11,2,4
211,212,S92000003,P,1,1,5,2,2,1,2,1,2,1,1,3,3,1
212,213,S92000003,P,1,1,6,2,2,2,1,1,2,2,6,13,3,3
213,214,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
214,215,S92000003,P,0,2,7,4,2,1,4,1,1,5,8,2,X,4
215,216,S92000003,P,1,2,3,2,2,1,2,1,1,7,9,10,X,3
216,217,S92000003,P,0,2,3,1,2,1,1,1,9,1,3,4,3,1
217,218,S92000003,P,4,2,3,4,2,1,3,1,1,8,9,2,X,4
218,219,S92000003,P,1,2,3,2,2,1,1,3,6,2,1,4,3,1
219,220,S92000003,P,4,1,1,1,1,1,1,5,1,X,X,X,X,X
220,221,S92000003,P,1,1,6,2,2,1,2,1,2,1,2,10,2,1
221,222,S92000003,P,0,2,5,4,2,1,1,1,2,1,4,9,3,2
222,223,S92000003,P,1,1,7,2,2,1,2,1,2,5,5,3,X,2
223,224,S92000003,P,1,1,2,1,1,1,1,1,2,4,3,10,2,3
224,225,S92000003,P,4,2,4,1,2,1,4,1,1,8,X,X,X,4
225,226,S92000003,P,1,2,4,2,2,2,1,3,4,1,4,6,2,4
226,227,S92000003,P,0,1,6,4,2,1,3,1,1,5,3,12,X,2
227,228,S92000003,P,1,2,3,2,2,1,1,1,2,1,4,10,3,4
228,229,S92000003,P,0,2,8,1,2,1,3,1,2,9,4,2,X,2
229,230,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,2
230,231,S92000003,P,2,1,3,1,2,1,1,3,6,1,1,4,3,2
231,232,S92000003,P,1,1,7,2,2,1,3,1,2,5,9,2,X,4
232,233,S92000003,P,0,1,7,4,2,1,4,1,2,5,8,5,X,3
233,234,S92000003,P,0,1,4,1,2,1,1,1,1,8,8,2,X,4
234,235,S92000003,P,0,1,5,1,2,1,2,1,2,3,7,4,X,4
235,236,S92000003,P,0,1,4,1,2,1,1,1,2,1,3,9,3,2
236,237,S92000003,C,X,2,8,1,2,1,5,1,9,5,6,4,X,X
237,238,S92000003,P,0,2,8,5,2,1,1,1,2,5,7,4,X,4
238,239,S92000003,P,1,2,6,2,2,1,1,1,2,7,4,2,X,2
239,240,S92000003,P,1,2,6,2,2,2,1,1,1,5,4,3,X,2
240,241,S92000003,P,1,2,6,2,2,1,4,1,2,8,6,6,X,3
241,242,S92000003,P,1,2,4,2,2,1,1,1,9,1,4,9,3,2
242,243,S92000003,P,1,1,5,2,2,2,3,1,2,3,5,3,X,4
243,244,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,11,3,2
244,245,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
245,246,S92000003,P,3,1,4,1,2,1,1,1,1,1,5,1,3,2
246,247,S92000003,P,1,1,5,2,2,2,1,1,9,2,2,7,2,1
247,248,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
248,249,S92000003,P,1,2,5,2,2,1,1,1,1,2,1,6,4,1
249,250,S92000003,P,4,2,1,1,1,1,2,1,1,X,X,X,X,X
250,251,S92000003,P,1,2,2,1,2,1,1,1,1,1,4,7,3,1
251,252,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
252,253,S92000003,P,1,2,6,2,2,1,2,1,1,5,2,10,X,1
253,254,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
254,255,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
255,256,S92000003,P,1,2,7,2,2,1,3,1,2,5,4,11,X,1
256,257,S92000003,P,1,2,5,2,2,1,2,1,1,1,9,4,2,4
257,258,S92000003,P,0,1,7,4,2,1,2,1,2,5,3,3,X,2
258,259,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
259,260,S92000003,P,1,1,5,2,2,1,1,1,1,2,2,2,3,1
260,261,S92000003,C,X,2,8,5,2,1,3,1,2,5,X,X,X,X
261,262,S92000003,P,1,1,6,2,2,1,1,1,2,2,2,8,3,1
262,263,S92000003,P,0,1,5,1,2,1,3,1,2,8,9,1,X,4
263,264,S92000003,P,2,2,5,1,2,1,1,1,2,1,7,4,3,3
264,265,S92000003,P,1,2,1,1,2,1,2,1,2,X,X,X,X,X
265,266,S92000003,P,1,2,8,2,2,1,4,1,2,5,2,11,X,2
266,267,S92000003,P,1,2,8,2,2,1,2,1,2,5,4,7,X,3
267,268,S92000003,P,1,2,7,2,2,1,2,1,2,5,9,11,X,4
268,269,S92000003,P,4,2,4,1,2,1,1,1,1,1,3,2,3,2
269,270,S92000003,P,4,1,3,1,2,1,1,1,2,1,8,6,4,2
270,271,S92000003,P,0,1,5,4,2,1,1,1,2,1,3,8,3,2
271,272,S92000003,P,0,1,3,3,2,1,1,1,1,1,5,2,4,3
272,273,S92000003,P,0,2,7,1,2,1,1,1,1,5,4,8,X,2
273,274,S92000003,P,1,2,8,2,2,1,2,1,2,5,2,10,X,4
274,275,S92000003,P,1,1,6,2,2,1,2,1,1,1,5,2,3,3
275,276,S92000003,P,1,1,6,2,2,1,1,1,1,5,3,9,X,2
276,277,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
277,278,S92000003,P,3,1,3,1,2,1,1,1,9,1,8,2,3,2
278,279,S92000003,P,2,1,1,1,1,1,1,1,2,X,X,X,X,X
279,280,S92000003,P,1,2,8,2,2,1,2,1,2,5,4,13,X,2
280,281,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
281,282,S92000003,P,1,1,5,2,2,1,2,1,2,2,7,9,2,2
282,283,S92000003,P,0,2,4,1,2,2,2,1,1,1,2,8,3,1
283,284,S92000003,P,1,1,4,2,2,1,2,1,2,1,5,2,3,3
284,285,S92000003,P,2,1,4,1,2,1,2,1,2,1,1,6,4,2
285,286,S92000003,P,2,2,3,1,2,1,1,1,2,1,2,10,3,1
286,287,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
287,288,S92000003,P,1,1,3,1,2,1,1,1,2,1,1,4,3,3
288,289,S92000003,P,1,2,5,2,2,1,3,1,1,1,6,11,2,3
289,290,S92000003,P,1,1,8,2,2,1,2,1,2,5,2,6,X,1
290,291,S92000003,P,1,2,5,2,2,1,2,1,2,9,1,11,X,1
291,292,S92000003,P,1,1,4,2,2,1,2,1,1,2,1,5,4,1
292,293,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
293,294,S92000003,P,1,1,4,2,2,1,1,1,1,1,5,3,3,3
294,295,S92000003,P,0,1,8,5,2,1,2,1,2,5,8,6,X,3
295,296,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
296,297,S92000003,P,2,2,5,4,2,1,1,1,2,2,6,13,2,3
297,298,S92000003,P,1,2,7,2,2,1,1,1,1,5,4,8,X,2
298,299,S92000003,P,1,1,6,2,2,1,2,1,2,2,5,1,4,3
299,300,S92000003,P,4,2,3,1,2,1,3,1,2,1,9,5,2,4
300,301,S92000003,P,0,2,8,5,2,1,4,1,9,5,9,5,X,3
301,302,S92000003,P,2,1,4,3,2,2,2,1,1,1,9,4,3,4
302,303,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
303,304,S92000003,P,1,1,7,2,2,1,2,1,1,1,2,10,2,1
304,305,S92000003,P,0,1,3,1,2,1,2,1,2,3,5,4,X,4
305,306,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
306,307,S92000003,P,2,1,4,4,2,1,1,1,1,1,4,6,3,2
307,308,S92000003,P,1,2,6,2,2,1,2,1,1,2,5,10,2,3
308,309,S92000003,P,2,2,3,1,2,1,1,1,2,1,6,11,1,3
309,310,S92000003,P,1,2,6,2,2,1,2,1,1,5,2,10,X,3
310,311,S92000003,P,1,2,6,2,2,1,2,1,2,5,7,4,X,3
311,312,S92000003,P,0,2,5,3,2,1,1,1,2,1,3,13,2,2
312,313,S92000003,P,2,1,3,1,2,1,1,1,1,1,2,10,3,1
313,314,S92000003,P,1,1,4,2,2,1,2,1,2,1,8,8,4,3
314,315,S92000003,P,1,1,3,1,2,1,1,1,2,1,9,3,3,4
315,316,S92000003,P,1,1,4,2,2,1,1,1,1,2,5,4,4,3
316,317,S92000003,P,1,1,6,2,2,1,3,1,2,2,5,1,4,3
317,318,S92000003,P,4,2,4,1,2,1,1,1,2,1,6,10,2,3
318,319,S92000003,P,0,2,6,1,2,2,2,1,2,1,2,10,1,1
319,320,S92000003,P,2,1,5,1,2,1,1,1,1,2,5,3,4,4
320,321,S92000003,P,0,2,8,5,2,1,3,1,2,5,6,11,X,4
321,322,S92000003,P,1,2,2,1,2,1,1,1,1,2,3,12,4,1
322,323,S92000003,P,2,2,6,4,2,1,2,1,9,1,1,2,2,2
323,324,S92000003,P,1,2,5,2,2,1,1,1,9,1,7,4,2,1
324,325,S92000003,P,1,2,7,2,2,1,2,1,2,5,2,11,X,1
325,326,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
326,327,S92000003,P,1,1,5,2,2,1,2,1,2,1,1,4,3,1
327,328,S92000003,P,1,1,2,1,1,1,1,1,2,4,5,1,2,1
328,329,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
329,330,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
330,331,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
331,332,S92000003,P,1,2,6,2,2,1,1,1,2,5,6,11,X,2
332,333,S92000003,P,1,2,7,2,2,1,2,1,2,5,1,5,X,2
333,334,S92000003,P,0,2,8,5,2,2,1,1,2,5,2,10,X,1
334,335,S92000003,P,1,1,5,2,2,1,2,1,1,1,1,8,3,1
335,336,S92000003,P,1,1,5,2,2,1,2,1,2,1,9,11,2,2
336,337,S92000003,P,1,1,7,2,2,1,2,1,2,5,1,2,X,1
337,338,S92000003,P,0,2,7,5,2,1,1,1,1,5,4,1,X,2
338,339,S92000003,P,1,1,7,2,2,1,2,1,2,5,5,1,X,4
339,340,S92000003,P,1,1,4,2,2,1,1,1,9,1,5,1,3,3
340,341,S92000003,P,2,2,1,1,2,1,1,1,2,X,X,X,X,X
341,342,S92000003,P,1,2,6,2,2,1,2,1,2,5,2,5,X,3
342,343,S92000003,P,1,2,4,2,2,1,2,1,1,2,2,8,3,1
343,344,S92000003,P,1,1,2,1,2,1,1,1,2,1,5,1,4,3
344,345,S92000003,P,1,1,4,2,2,1,1,1,2,1,3,3,3,2
345,346,S92000003,P,1,2,4,2,2,1,2,1,1,1,4,8,2,3
346,347,S92000003,P,4,1,2,1,2,1,2,1,2,1,5,3,3,3
347,348,S92000003,P,0,2,8,5,2,1,1,1,2,5,2,6,X,1
348,349,S92000003,P,1,1,7,2,2,1,3,1,2,5,8,2,X,2
349,350,S92000003,P,0,1,8,5,2,1,4,1,2,5,8,6,X,3
350,351,S92000003,P,1,2,5,2,2,1,2,1,2,1,6,10,2,3
351,352,S92000003,P,1,2,5,2,2,1,1,1,2,1,6,10,2,2
352,353,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,11,2,3
